zaznam	cas	radon[Bq/m3]	sum1	sum2	sum3	sum4	Teplota[C]	Vlhkost[%]	HV	Algorit.	
737	11.06.2019 14:28	119	1	19	25	0	25	52	9	1
736	11.06.2019 15:28	96	2	20	15	0	26	51	9	1
735	11.06.2019 16:28	124	5	22	23	0	26	51	9	1
734	11.06.2019 17:28	102	6	24	13	0	26	51	9	1
733	11.06.2019 18:28	132	1	20	28	0	26	51	9	1
732	11.06.2019 19:28	124	1	24	21	0	26	51	9	1
731	11.06.2019 20:28	155	3	20	38	0	25	50	9	1
730	11.06.2019 21:28	133	3	21	29	0	25	50	9	1
729	11.06.2019 22:28	110	0	25	16	0	25	51	9	1
728	11.06.2019 23:28	127	0	24	23	0	25	51	9	1
727	12.06.2019 00:28	118	3	22	22	0	25	51	9	1
726	12.06.2019 01:28	84	0	9	22	0	25	52	9	1
725	12.06.2019 02:28	95	2	12	23	0	25	52	9	1
724	12.06.2019 03:28	49	2	7	11	0	25	52	9	1
723	12.06.2019 04:28	49	1	12	6	0	25	52	9	1
722	12.06.2019 05:28	89	2	18	15	0	25	52	9	1
721	12.06.2019 06:28	87	0	9	23	0	25	52	9	1
720	12.06.2019 07:28	46	1	6	11	0	25	52	9	1
719	12.06.2019 08:28	59	3	10	12	0	25	52	9	1
718	12.06.2019 09:28	54	0	11	9	0	25	52	9	1
717	12.06.2019 10:28	72	0	19	8	0	25	51	9	1
716	12.06.2019 11:28	72	2	11	16	0	25	51	9	1
715	12.06.2019 12:28	64	0	10	14	0	25	51	9	1
714	12.06.2019 13:28	74	2	13	14	0	26	50	9	1
713	12.06.2019 14:28	71	1	11	15	0	26	50	9	1
712	12.06.2019 15:28	97	1	22	14	0	26	49	9	1
711	12.06.2019 16:28	70	0	13	13	0	26	49	9	1
710	12.06.2019 17:28	114	2	22	20	0	26	49	9	1
709	12.06.2019 18:28	106	0	15	24	0	26	49	9	1
708	12.06.2019 19:28	100	3	19	18	0	26	49	9	1
707	12.06.2019 20:28	155	1	28	29	0	26	49	9	1
706	12.06.2019 21:28	136	5	25	25	0	26	49	9	1
705	12.06.2019 22:28	175	3	45	19	0	26	50	9	1
704	12.06.2019 23:28	222	1	32	49	0	26	50	9	1
703	13.06.2019 00:28	227	1	43	40	0	26	50	9	1
702	13.06.2019 01:28	233	3	38	47	0	26	50	9	1
701	13.06.2019 02:28	241	4	50	38	0	26	50	9	1
700	13.06.2019 03:28	252	1	38	54	0	26	50	9	1
699	13.06.2019 04:28	299	1	59	50	0	26	50	9	1
698	13.06.2019 05:28	301	3	52	58	0	26	50	9	1
697	13.06.2019 06:28	246	4	45	45	0	26	50	9	1
696	13.06.2019 07:28	242	2	45	44	0	26	49	9	1
695	13.06.2019 08:28	157	1	27	31	0	26	49	9	1
694	13.06.2019 09:28	185	2	37	31	0	26	49	9	1
693	13.06.2019 10:28	164	5	30	31	0	26	48	9	1
692	13.06.2019 11:28	178	8	22	44	0	26	48	9	1
691	13.06.2019 12:28	151	0	31	25	0	26	48	9	1
690	13.06.2019 13:28	168	1	27	36	0	26	47	9	1
689	13.06.2019 14:28	248	1	46	47	0	26	47	9	1
688	13.06.2019 15:28	235	6	39	49	0	26	47	9	1
687	13.06.2019 16:28	205	2	38	39	0	26	47	9	1
686	13.06.2019 17:28	240	2	45	45	0	26	47	9	1
685	13.06.2019 18:28	216	0	40	41	0	26	47	9	1
684	13.06.2019 19:28	240	5	50	39	0	26	48	9	1
683	13.06.2019 20:28	256	3	40	55	0	26	48	9	1
682	13.06.2019 21:28	231	1	31	55	0	26	48	9	1
681	13.06.2019 22:28	179	4	29	37	0	26	49	9	1
680	13.06.2019 23:28	198	1	31	42	0	26	49	9	1
679	14.06.2019 00:28	193	2	36	35	0	26	49	9	1
678	14.06.2019 01:28	164	1	25	35	0	26	50	9	1
677	14.06.2019 02:28	153	2	25	31	0	26	50	9	1
676	14.06.2019 03:28	153	0	28	28	0	26	50	9	1
675	14.06.2019 04:28	164	5	24	36	0	26	50	9	1
674	14.06.2019 05:28	192	6	38	32	0	26	50	9	1
673	14.06.2019 06:28	175	4	35	29	0	26	50	9	1
672	14.06.2019 07:28	246	2	50	40	0	26	50	9	1
671	14.06.2019 08:28	203	6	36	38	0	26	50	9	1
670	14.06.2019 09:28	238	4	35	52	0	26	50	9	1
669	14.06.2019 10:28	241	2	44	44	0	26	50	9	1
668	14.06.2019 11:28	236	3	38	48	0	26	50	9	1
667	14.06.2019 12:28	228	3	36	48	0	26	49	9	1
666	14.06.2019 13:28	223	5	33	49	0	26	49	9	1
665	14.06.2019 14:28	204	2	41	34	0	26	49	9	1
664	14.06.2019 15:28	242	3	40	47	0	27	49	9	1
663	14.06.2019 16:28	189	9	27	41	0	27	49	9	1
662	14.06.2019 17:28	217	5	44	34	0	27	49	9	1
661	14.06.2019 18:28	284	2	42	60	0	27	49	9	1
660	14.06.2019 19:28	239	8	43	45	0	26	49	9	1
659	14.06.2019 20:28	247	2	44	47	0	26	49	9	1
658	14.06.2019 21:28	293	5	59	49	0	26	49	9	1
657	14.06.2019 22:28	269	4	43	56	0	26	49	9	1
656	14.06.2019 23:28	244	1	39	50	0	26	50	9	1
655	15.06.2019 00:28	178	2	20	45	0	26	50	9	1
654	15.06.2019 01:28	152	3	16	39	0	26	51	9	1
653	15.06.2019 02:28	118	2	14	29	0	26	51	9	1
652	15.06.2019 03:28	83	2	15	15	0	26	51	9	1
651	15.06.2019 04:28	77	1	7	21	0	26	51	9	1
650	15.06.2019 05:28	63	2	10	13	0	26	51	9	1
649	15.06.2019 06:28	38	1	7	7	0	26	51	9	1
648	15.06.2019 07:28	38	2	8	6	0	26	51	9	1
647	15.06.2019 08:28	60	2	11	11	0	26	51	9	1
646	15.06.2019 09:28	101	1	21	15	0	27	50	9	1
645	15.06.2019 10:28	151	2	34	20	0	27	50	9	1
644	15.06.2019 11:28	195	2	38	31	0	27	51	9	1
643	15.06.2019 12:28	215	3	41	35	0	27	51	9	1
642	15.06.2019 13:28	229	3	39	42	0	27	51	9	1
641	15.06.2019 14:28	280	3	59	41	0	27	50	9	1
640	15.06.2019 15:28	294	5	45	60	0	27	50	9	1
639	15.06.2019 16:28	252	3	39	51	0	27	50	9	1
638	15.06.2019 17:28	238	2	32	53	1	27	50	9	1
637	15.06.2019 18:28	233	3	32	51	0	27	50	9	1
636	15.06.2019 19:28	159	2	24	34	0	26	50	9	1
635	15.06.2019 20:28	148	4	22	32	0	26	50	9	1
634	15.06.2019 21:28	189	3	39	30	0	26	50	9	1
633	15.06.2019 22:28	167	1	35	26	0	26	50	9	1
632	15.06.2019 23:28	175	4	25	39	0	26	50	9	1
631	16.06.2019 00:28	216	1	50	29	0	26	50	9	1
630	16.06.2019 01:28	211	4	42	35	0	26	50	9	1
629	16.06.2019 02:28	167	2	21	40	0	26	50	9	1
628	16.06.2019 03:28	186	2	25	43	0	26	50	9	1
627	16.06.2019 04:28	145	2	24	29	0	26	50	9	1
626	16.06.2019 05:28	175	1	29	35	0	26	50	9	1
625	16.06.2019 06:28	192	1	34	36	0	26	50	9	1
624	16.06.2019 07:28	178	6	30	35	0	26	50	9	1
623	16.06.2019 08:28	178	3	29	36	0	26	50	9	1
622	16.06.2019 09:28	142	0	25	27	0	26	50	9	1
621	16.06.2019 10:28	148	3	35	19	0	26	50	9	1
620	16.06.2019 11:28	139	7	21	30	0	26	50	9	1
619	16.06.2019 12:28	170	2	25	37	0	26	50	9	1
618	16.06.2019 13:28	144	1	28	25	0	26	49	9	1
617	16.06.2019 14:28	136	1	23	27	0	26	49	9	1
616	16.06.2019 15:28	137	2	28	23	0	26	48	9	1
615	16.06.2019 16:28	156	4	26	32	0	26	48	9	1
614	16.06.2019 17:28	126	6	22	25	0	26	48	9	1
613	16.06.2019 18:28	138	1	26	26	0	26	47	9	1
