zaznam	cas	radon[Bq/m3]	sum1	sum2	sum3	sum4	Teplota[C]	Vlhkost[%]	HV	Algorit.	
467	12.06.2019 01:36	315	5	39	38	0	25	51	9	1	
468	12.06.2019 02:36	196	6	24	24	0	25	51	9	1	
469	12.06.2019 03:36	213	6	29	23	0	25	51	9	1	
470	12.06.2019 04:36	164	4	17	23	0	25	51	9	1	
471	12.06.2019 05:36	196	1	23	25	0	25	51	9	1	
472	12.06.2019 06:36	221	5	31	23	0	25	51	9	1	
473	12.06.2019 07:36	205	3	24	25	0	26	51	9	1	
474	12.06.2019 08:36	243	6	28	30	0	26	51	9	1	
475	12.06.2019 09:36	243	3	30	28	0	26	51	9	1	
476	12.06.2019 10:36	227	5	31	25	0	25	50	9	1	
477	12.06.2019 11:36	231	4	28	29	0	25	50	9	1	
478	12.06.2019 12:36	256	5	29	34	0	25	50	9	1	
479	12.06.2019 13:36	282	6	32	38	0	25	49	9	1	
480	12.06.2019 14:36	243	7	30	29	0	26	49	9	1	
481	12.06.2019 15:36	210	5	18	33	0	26	49	9	1	
482	12.06.2019 16:36	297	1	25	47	0	26	49	9	1	
483	12.06.2019 17:36	210	4	24	27	0	26	49	9	1	
484	12.06.2019 18:36	235	1	20	37	0	26	49	9	1	
485	12.06.2019 19:36	243	5	31	28	0	26	49	9	1	
486	12.06.2019 20:36	268	3	26	39	0	26	49	9	1	
487	12.06.2019 21:36	244	3	25	35	0	25	50	9	1	
488	12.06.2019 22:36	268	8	28	38	0	25	50	9	1	
489	12.06.2019 23:36	240	3	35	24	0	25	50	9	1	
490	13.06.2019 00:36	288	3	38	33	0	25	50	9	1	
491	13.06.2019 01:36	382	7	44	50	0	25	50	9	1	
492	13.06.2019 02:36	378	5	52	41	0	25	50	9	1	
493	13.06.2019 03:36	349	6	43	43	0	25	50	9	1	
494	13.06.2019 04:36	353	4	37	50	0	25	50	9	1	
495	13.06.2019 05:36	264	7	30	35	0	25	50	9	1	
496	13.06.2019 06:36	288	7	35	36	0	25	50	9	1	
497	13.06.2019 07:36	301	4	32	42	0	25	50	9	1	
498	13.06.2019 08:36	294	5	36	37	0	25	49	9	1	
499	13.06.2019 09:36	289	3	31	39	0	26	49	9	1	
500	13.06.2019 10:36	298	2	35	38	0	26	48	9	1	
501	13.06.2019 11:36	298	2	37	36	0	26	48	9	1	
502	13.06.2019 12:36	253	6	34	28	0	26	48	9	1	
503	13.06.2019 13:36	286	0	27	43	0	26	48	9	1	
504	13.06.2019 14:36	278	1	32	36	0	26	48	9	1	
505	13.06.2019 15:36	298	5	29	44	0	26	48	9	1	
506	13.06.2019 16:36	286	12	39	31	0	26	48	9	1	
507	13.06.2019 17:36	425	4	40	64	0	26	48	9	1	
508	13.06.2019 18:36	434	6	51	55	0	26	48	9	1	
509	13.06.2019 19:36	425	6	55	49	0	26	48	9	1	
510	13.06.2019 20:36	413	7	45	55	0	26	49	9	1	
511	13.06.2019 21:36	305	6	28	46	0	26	49	9	1	
512	13.06.2019 22:36	227	9	25	30	0	26	49	9	1	
513	13.06.2019 23:36	341	3	37	45	0	26	50	9	1	
514	14.06.2019 00:36	362	3	47	42	0	25	50	9	1	
515	14.06.2019 01:36	317	2	34	44	0	25	50	9	1	
516	14.06.2019 02:36	252	0	28	34	1	25	50	9	1	
517	14.06.2019 03:36	284	6	28	42	0	25	50	9	1	
518	14.06.2019 04:36	252	4	28	34	0	25	50	9	1	
519	14.06.2019 05:36	260	1	36	28	0	25	50	9	1	
520	14.06.2019 06:36	295	9	31	40	0	26	50	9	1	
521	14.06.2019 07:36	283	3	36	32	0	26	50	9	1	
522	14.06.2019 08:36	324	7	40	38	0	26	50	9	1	
523	14.06.2019 09:36	383	8	40	52	0	26	50	9	1	
524	14.06.2019 10:36	370	11	48	41	0	26	50	9	1	
525	14.06.2019 11:36	337	4	35	46	0	26	50	9	1	
526	14.06.2019 12:36	313	5	40	36	0	26	49	9	1	
527	14.06.2019 13:36	252	3	29	32	0	26	49	9	1	
528	14.06.2019 14:36	301	4	26	47	0	26	49	9	1	
529	14.06.2019 15:36	305	6	33	41	0	26	49	9	1	
530	14.06.2019 16:36	342	6	38	45	0	26	49	9	1	
531	14.06.2019 17:36	421	4	47	55	0	26	49	9	1	
532	14.06.2019 18:36	380	4	43	49	0	26	49	9	1	
533	14.06.2019 19:36	351	8	38	47	0	26	49	9	1	
534	14.06.2019 20:36	408	5	52	46	0	26	50	9	1	
535	14.06.2019 21:36	391	5	47	47	0	26	50	9	1	
536	14.06.2019 22:36	412	4	54	45	0	26	50	9	1	
537	14.06.2019 23:36	429	12	45	58	0	26	50	9	1	
538	15.06.2019 00:36	323	5	30	47	1	26	51	9	1	
539	15.06.2019 01:36	319	3	33	43	0	26	51	9	1	
540	15.06.2019 02:36	285	7	34	34	0	26	51	9	1	
541	15.06.2019 03:36	243	3	21	37	0	26	51	9	1	
542	15.06.2019 04:36	214	0	16	35	0	26	51	9	1	
543	15.06.2019 05:36	142	3	17	17	0	26	51	9	1	
544	15.06.2019 06:36	176	4	27	15	0	26	51	9	1	
545	15.06.2019 07:36	197	3	17	30	0	26	51	9	1	
546	15.06.2019 08:36	155	1	14	23	0	26	51	9	1	
547	15.06.2019 09:36	197	2	27	20	0	26	51	9	1	
548	15.06.2019 10:36	273	5	26	39	0	26	51	9	1	
549	15.06.2019 11:36	273	5	36	29	0	26	51	9	1	
550	15.06.2019 12:36	369	7	42	46	0	26	51	9	1	
551	15.06.2019 13:36	415	14	50	49	0	26	51	9	1	
552	15.06.2019 14:36	420	6	49	51	0	26	51	9	1	
553	15.06.2019 15:36	451	9	53	53	0	27	50	9	1	
554	15.06.2019 16:36	458	9	57	53	0	26	50	9	1	
555	15.06.2019 17:36	462	7	51	60	0	26	50	9	1	
556	15.06.2019 18:36	412	5	41	58	0	26	50	9	1	
557	15.06.2019 19:36	320	3	30	47	0	26	50	9	1	
558	15.06.2019 20:36	295	6	28	43	0	26	50	9	1	
559	15.06.2019 21:36	237	7	30	27	0	26	50	9	1	
560	15.06.2019 22:36	327	8	40	38	0	26	51	9	1	
561	15.06.2019 23:36	331	5	36	43	0	26	51	9	1	
562	16.06.2019 00:36	390	2	38	55	0	26	51	9	1	
563	16.06.2019 01:36	231	5	27	28	0	26	51	9	1	
564	16.06.2019 02:36	231	7	22	33	0	26	51	9	1	
565	16.06.2019 03:36	222	3	21	32	0	26	51	9	1	
566	16.06.2019 04:36	176	2	22	20	0	26	51	9	1	
567	16.06.2019 05:36	319	8	34	42	0	26	51	9	1	
568	16.06.2019 06:36	243	5	23	35	0	26	51	9	1	
569	16.06.2019 07:36	264	4	35	28	0	26	51	9	1	
570	16.06.2019 08:36	252	8	27	33	0	26	51	9	1	
571	16.06.2019 09:36	256	3	34	27	0	26	51	9	1	
572	16.06.2019 10:36	273	3	25	40	0	26	51	9	1	
573	16.06.2019 11:36	191	3	19	27	0	26	50	9	1	
574	16.06.2019 12:36	145	2	18	17	0	26	50	9	1	
575	16.06.2019 13:36	183	1	26	18	0	26	50	9	1	
576	16.06.2019 14:36	136	4	13	20	0	26	49	9	1	
577	16.06.2019 15:36	177	7	26	17	0	26	49	9	1	
578	16.06.2019 16:36	190	1	25	21	0	26	49	9	1	
579	16.06.2019 17:36	221	5	26	28	1	26	48	9	1	
580	16.06.2019 18:36	212	1	24	28	0	26	48	9	1	
581	16.06.2019 19:36	249	2	28	33	0	26	48	9	1	
582	16.06.2019 20:36	225	3	27	28	0	26	48	9	1	
583	16.06.2019 21:36	212	3	26	26	0	26	48	9	1	
584	16.06.2019 22:36	211	4	26	26	1	26	47	9	1	
585	16.06.2019 23:36	170	5	20	22	0	26	47	9	1	
586	17.06.2019 00:36	223	5	28	27	0	26	47	9	1	
587	17.06.2019 01:36	202	0	31	19	0	26	47	9	1	
588	17.06.2019 02:36	227	7	26	30	0	26	47	9	1	
589	17.06.2019 03:36	190	1	25	23	0	25	47	9	1	
590	17.06.2019 04:36	211	2	26	28	0	25	46	9	1	
591	17.06.2019 05:36	184	3	27	19	0	26	46	9	1	
592	17.06.2019 06:36	237	6	32	27	0	26	46	9	1	
593	17.06.2019 07:36	281	5	34	36	0	26	46	9	1	
594	17.06.2019 08:36	234	4	25	34	0	26	45	9	1	
595	17.06.2019 09:36	254	5	31	33	0	26	45	9	1	
596	17.06.2019 10:36	250	6	34	29	0	26	45	9	1	
597	17.06.2019 11:36	175	5	20	24	0	26	45	9	1	
598	17.06.2019 12:36	171	2	18	25	0	26	45	9	1	
599	17.06.2019 13:36	234	4	28	31	0	26	45	9	1	
600	17.06.2019 14:36	223	0	27	29	0	26	45	9	1	
601	17.06.2019 15:36	227	2	28	29	0	26	45	9	1	
