záznam	cas	radon[Bq/m3]	sum1	sum2	sum3	sum4	Teplota[°C]	Vlhkost[%]	HV	Algorit.	
129	17.06.2019 00:36	223	5	28	27	0	26	47	9	1	
130	17.06.2019 01:36	202	0	31	19	0	26	47	9	1	
131	17.06.2019 02:36	227	7	26	30	0	26	47	9	1	
132	17.06.2019 03:36	190	1	25	23	0	25	47	9	1	
133	17.06.2019 04:36	211	2	26	28	0	25	46	9	1	
134	17.06.2019 05:36	184	3	27	19	0	26	46	9	1	
135	17.06.2019 06:36	237	6	32	27	0	26	46	9	1	
136	17.06.2019 07:36	281	5	34	36	0	26	46	9	1	
137	17.06.2019 08:36	234	4	25	34	0	26	45	9	1	
138	17.06.2019 09:36	254	5	31	33	0	26	45	9	1	
139	17.06.2019 10:36	250	6	34	29	0	26	45	9	1	
140	17.06.2019 11:36	175	5	20	24	0	26	45	9	1	
141	17.06.2019 12:36	171	2	18	25	0	26	45	9	1	
142	17.06.2019 13:36	234	4	28	31	0	26	45	9	1	
143	17.06.2019 14:36	223	0	27	29	0	26	45	9	1	
144	17.06.2019 15:36	227	2	28	29	0	26	45	9	1	
145	17.06.2019 16:36	187	4	24	23	0	26	45	9	1	
146	17.06.2019 17:36	181	2	24	22	0	26	44	9	1	
147	17.06.2019 18:36	236	4	26	34	0	26	44	9	1	
148	17.06.2019 19:36	220	1	32	24	0	26	44	9	1	
149	17.06.2019 20:36	272	8	30	39	0	26	44	9	1	
150	17.06.2019 21:36	237	1	20	41	0	25	45	9	1	
151	17.06.2019 22:36	248	6	36	28	0	25	45	9	1	
152	17.06.2019 23:36	326	3	39	45	0	25	45	9	1	
153	18.06.2019 00:36	264	3	33	35	0	25	45	9	1	
154	18.06.2019 01:36	306	2	38	41	0	25	45	9	1	
155	18.06.2019 02:36	325	2	36	47	0	25	46	9	1	
156	18.06.2019 03:36	270	1	28	41	0	25	46	9	1	
157	18.06.2019 04:36	200	2	25	26	0	25	46	9	1	
158	18.06.2019 05:36	209	5	24	30	0	25	45	9	1	
159	18.06.2019 06:36	170	2	22	22	0	25	45	9	1	
160	18.06.2019 07:36	225	5	28	30	0	25	45	9	1	
161	18.06.2019 08:36	207	5	26	26	0	26	45	9	1	
162	18.06.2019 09:36	203	4	21	30	0	26	45	9	1	
163	18.06.2019 10:36	223	3	29	27	0	26	45	9	1	
164	18.06.2019 11:36	167	5	25	17	0	26	45	9	1	
165	18.06.2019 12:36	216	7	24	31	0	26	44	9	1	
166	18.06.2019 13:36	228	4	30	28	0	26	44	9	1	
167	18.06.2019 14:36	311	1	35	44	0	26	44	9	1	
168	18.06.2019 15:36	244	4	28	34	0	26	44	9	1	
169	18.06.2019 16:36	315	5	32	48	0	26	44	9	1	
170	18.06.2019 17:36	268	4	32	36	0	26	44	9	1	
171	18.06.2019 18:36	283	3	40	32	0	26	44	9	1	
172	18.06.2019 19:36	276	7	34	36	0	26	44	9	1	
173	18.06.2019 20:36	369	7	44	52	0	25	44	9	1	
174	18.06.2019 21:36	361	12	51	43	0	25	44	9	1	
175	18.06.2019 22:36	353	6	44	47	0	25	45	9	1	
176	18.06.2019 23:36	361	4	40	53	0	25	45	9	1	
177	19.06.2019 00:36	341	6	46	42	0	25	45	9	1	
178	19.06.2019 01:36	303	3	37	41	0	25	45	9	1	
179	19.06.2019 02:36	264	1	33	35	0	25	45	9	1	
180	19.06.2019 03:36	279	6	31	41	0	25	45	9	1	
181	19.06.2019 04:36	235	6	24	36	0	25	46	9	1	
182	19.06.2019 05:36	278	2	33	38	0	25	46	9	1	
183	19.06.2019 06:36	273	3	35	33	0	26	46	9	1	
184	19.06.2019 07:36	277	7	30	39	0	26	46	9	1	
185	19.06.2019 08:36	333	1	43	40	0	26	46	9	1	
186	19.06.2019 09:36	369	6	37	55	0	26	46	9	1	
187	19.06.2019 10:36	385	7	49	47	0	26	46	9	1	
188	19.06.2019 11:36	357	6	46	43	0	26	46	9	1	
