record	time	radon[Bq/m3]	sum1	sum2	sum3	sum4	temperature[°C]	humidity[%]	HV	algorithm
494	30.05.2019 18:27	458	10	117	97	0	14	58	9	1
493	30.05.2019 19:27	522	9	134	110	0	14	58	9	1
492	30.05.2019 20:27	678	12	178	139	0	14	58	9	1
491	30.05.2019 21:27	631	7	123	172	0	14	58	9	1
490	30.05.2019 22:27	366	4	68	103	0	14	58	9	1
489	30.05.2019 23:27	323	4	49	102	0	14	58	9	1
488	31.05.2019 0:27	189	9	38	53	0	13	58	9	1
487	31.05.2019 1:27	133	3	36	28	0	13	58	9	1
486	31.05.2019 2:27	142	2	27	42	0	13	57	9	1
485	31.05.2019 3:27	109	3	21	32	0	13	57	9	1
484	31.05.2019 4:27	84	5	17	24	0	13	57	9	1
483	31.05.2019 5:27	82	0	23	17	0	13	57	9	1
482	31.05.2019 6:27	136	4	33	33	0	13	57	9	1
481	31.05.2019 7:27	147	3	38	33	0	13	58	9	1
480	31.05.2019 8:27	183	4	52	36	0	13	58	9	1
479	31.05.2019 9:27	216	7	50	51	0	14	58	9	1
478	31.05.2019 10:27	225	4	48	58	0	14	57	9	1
477	31.05.2019 11:27	257	6	59	62	0	14	57	9	1
476	31.05.2019 12:27	346	5	90	73	0	14	57	9	1
475	31.05.2019 13:27	378	9	102	76	0	14	57	9	1
474	31.05.2019 14:27	503	6	118	119	0	14	57	9	1
473	31.05.2019 15:27	507	8	116	121	0	14	58	9	1
472	31.05.2019 16:27	518	11	106	136	0	14	58	9	1
471	31.05.2019 17:27	569	9	134	132	0	14	58	9	1
470	31.05.2019 18:27	595	6	142	134	0	14	59	9	1
469	31.05.2019 19:27	658	18	145	160	0	14	59	9	1
468	31.05.2019 20:27	616	10	125	153	0	15	59	9	1
467	31.05.2019 21:27	630	8	128	154	0	15	60	9	1
466	31.05.2019 22:27	545	11	110	134	0	15	60	9	1
465	31.05.2019 23:27	679	8	177	127	0	15	60	9	1
464	01.06.2019 0:27	843	15	188	189	0	15	60	9	1
463	01.06.2019 1:27	950	16	184	238	0	15	61	9	1
462	01.06.2019 2:27	799	11	173	192	0	14	61	9	1
461	01.06.2019 3:27	799	21	160	205	0	14	61	9	1
460	01.06.2019 4:27	624	12	122	161	0	14	62	9	1
459	01.06.2019 5:27	620	11	133	148	0	14	62	9	1
458	01.06.2019 6:27	626	12	128	148	0	15	62	9	1
457	01.06.2019 7:27	487	13	118	95	0	15	63	9	1
456	01.06.2019 8:27	683	5	149	150	0	15	63	9	1
455	01.06.2019 9:27	738	11	158	165	0	15	63	9	1
454	01.06.2019 10:27	708	11	140	170	0	15	63	9	1
453	01.06.2019 11:27	756	15	157	174	0	15	63	9	1
452	01.06.2019 12:27	722	4	137	168	0	16	64	9	1
451	01.06.2019 13:27	335	6	19	116	0	18	63	9	1
450	01.06.2019 14:27	128	2	8	44	0	18	62	9	1
449	01.06.2019 15:27	76	1	10	21	0	18	62	9	1
448	01.06.2019 16:27	29	2	6	6	0	18	61	9	1
447	01.06.2019 17:27	14	0	2	4	0	19	60	9	1
446	01.06.2019 18:27	17	1	2	5	0	19	59	9	1
445	01.06.2019 19:27	12	0	3	2	1	18	60	9	1
444	01.06.2019 20:27	19	0	6	2	0	18	61	9	1
443	01.06.2019 21:27	83	0	23	11	0	18	61	9	1
442	01.06.2019 22:27	123	1	33	17	0	18	62	9	1
441	01.06.2019 23:27	211	2	55	33	0	17	62	9	1
440	02.06.2019 0:27	371	7	98	57	0	17	62	9	1
