zaznam	cas	radon[Bq/m3]	sum1	sum2	sum3	sum4	Teplota[C]	Vlhkost[%]	HV	Algorit.	
515	14.06.2019 01:22	246	42	59	26	0	26	50	7	1	
516	14.06.2019 02:22	269	50	56	37	0	26	50	7	1	
517	14.06.2019 03:22	287	48	58	41	0	26	50	7	1	
518	14.06.2019 04:22	310	52	67	39	0	26	51	7	1	
519	14.06.2019 05:22	269	66	50	42	0	26	51	7	1	
520	14.06.2019 06:22	307	59	64	41	0	26	51	7	1	
521	14.06.2019 07:22	310	58	69	37	0	26	51	7	1	
522	14.06.2019 08:22	342	41	76	42	0	26	50	7	1	
523	14.06.2019 09:22	330	53	66	48	0	26	50	7	1	
524	14.06.2019 10:22	435	64	94	56	0	26	50	7	1	
525	14.06.2019 11:22	316	55	55	54	0	26	50	7	1	
526	14.06.2019 12:22	339	58	68	49	0	26	50	7	1	
527	14.06.2019 13:22	342	41	69	49	0	26	50	7	1	
528	14.06.2019 14:22	330	57	81	33	0	26	50	7	1	
529	14.06.2019 15:22	319	49	66	45	0	26	49	7	1	
530	14.06.2019 16:22	293	50	64	38	0	26	49	7	1	
531	14.06.2019 17:22	397	50	78	60	0	26	49	7	1	
532	14.06.2019 18:22	382	53	77	56	0	26	49	7	1	
533	14.06.2019 19:22	330	56	79	36	0	26	49	7	1	
534	14.06.2019 20:22	327	59	62	51	0	26	50	7	1	
535	14.06.2019 21:22	365	45	76	50	0	26	50	7	1	
536	14.06.2019 22:22	348	63	65	55	0	26	50	7	1	
537	14.06.2019 23:22	304	52	62	43	0	26	50	7	1	
538	15.06.2019 00:22	339	58	54	63	0	26	50	7	1	
539	15.06.2019 01:22	289	55	54	45	0	26	51	7	1	
540	15.06.2019 02:22	254	52	51	36	0	26	51	7	1	
541	15.06.2019 03:22	220	51	42	34	0	26	50	7	1	
542	15.06.2019 04:22	197	43	40	28	0	26	50	7	1	
543	15.06.2019 05:22	289	64	57	42	0	26	51	7	1	
544	15.06.2019 06:22	310	67	66	40	0	26	51	7	1	
545	15.06.2019 07:22	275	54	52	42	0	26	51	7	1	
546	15.06.2019 08:22	313	53	57	50	0	26	51	7	1	
547	15.06.2019 09:22	245	44	50	34	0	26	51	7	1	
548	15.06.2019 10:22	248	52	51	34	0	26	51	7	1	
549	15.06.2019 11:22	278	43	57	38	0	26	51	7	1	
550	15.06.2019 12:22	336	48	69	46	0	26	51	7	1	
551	15.06.2019 13:22	302	63	68	33	0	27	51	7	1	
552	15.06.2019 14:22	413	56	82	56	0	27	51	7	1	
553	15.06.2019 15:22	371	50	72	52	0	27	51	7	1	
554	15.06.2019 16:22	403	57	70	66	0	27	50	7	1	
555	15.06.2019 17:22	362	51	76	49	0	26	50	7	1	
556	15.06.2019 18:22	336	68	64	52	0	26	50	7	1	
557	15.06.2019 19:22	383	50	78	53	0	26	51	7	1	
558	15.06.2019 20:22	345	56	64	54	0	26	51	7	1	
559	15.06.2019 21:22	313	55	52	55	0	26	51	7	1	
560	15.06.2019 22:22	397	59	88	48	0	26	51	7	1	
561	15.06.2019 23:22	421	64	75	69	0	26	51	7	1	
562	16.06.2019 00:22	389	54	73	60	0	26	51	7	1	
563	16.06.2019 01:22	392	44	73	61	0	26	51	7	1	
564	16.06.2019 02:22	318	44	65	44	0	26	51	7	1	
565	16.06.2019 03:22	310	52	60	46	0	26	51	7	1	
566	16.06.2019 04:22	330	52	67	46	0	26	51	7	1	
567	16.06.2019 05:22	275	67	57	37	0	26	51	7	1	
568	16.06.2019 06:22	295	53	57	44	0	26	51	7	1	
569	16.06.2019 07:22	336	53	78	37	0	26	51	7	1	
570	16.06.2019 08:22	330	61	67	46	0	26	51	7	1	
571	16.06.2019 09:22	286	60	53	45	0	26	51	7	1	
572	16.06.2019 10:22	278	60	56	39	0	26	51	7	1	
573	16.06.2019 11:22	272	57	54	39	0	26	51	7	1	
574	16.06.2019 12:22	228	51	41	37	1	26	51	7	1	
575	16.06.2019 13:22	220	54	51	25	0	26	50	7	1	
576	16.06.2019 14:22	207	44	51	21	0	26	49	7	1	
577	16.06.2019 15:22	258	41	60	30	0	26	49	7	1	
578	16.06.2019 16:22	284	55	54	45	0	26	49	7	1	
579	16.06.2019 17:22	262	51	59	33	0	26	48	7	1	
580	16.06.2019 18:22	265	40	44	49	0	26	48	7	1	
581	16.06.2019 19:22	265	35	58	36	0	26	47	7	1	
582	16.06.2019 20:22	260	62	56	36	0	26	47	7	1	
583	16.06.2019 21:22	262	57	52	41	0	26	47	7	1	
584	16.06.2019 22:22	251	52	60	29	0	26	47	7	1	
585	16.06.2019 23:22	291	45	67	36	0	26	47	7	1	
586	17.06.2019 00:22	313	47	67	44	0	26	47	7	1	
587	17.06.2019 01:22	350	51	81	43	0	26	47	7	1	
588	17.06.2019 02:22	375	41	73	60	0	26	47	7	1	
589	17.06.2019 03:22	342	58	67	57	0	25	47	7	1	
590	17.06.2019 04:22	331	56	66	54	0	25	47	7	1	
591	17.06.2019 05:22	397	42	80	64	0	25	47	7	1	
592	17.06.2019 06:22	311	65	61	52	0	25	47	7	1	
593	17.06.2019 07:22	395	42	85	55	0	26	47	7	1	
594	17.06.2019 08:22	387	54	70	67	0	26	47	7	1	
595	17.06.2019 09:22	333	58	70	49	0	26	46	7	1	
596	17.06.2019 10:22	445	58	90	69	0	26	46	7	1	
597	17.06.2019 11:22	280	49	56	44	0	26	46	7	1	
598	17.06.2019 12:22	266	64	54	41	0	26	46	7	1	
599	17.06.2019 13:22	291	63	61	44	0	26	45	7	1	
600	17.06.2019 14:22	271	48	51	47	0	26	45	7	1	
601	17.06.2019 15:22	260	51	53	41	0	26	45	7	1	
602	17.06.2019 16:22	299	60	66	43	0	26	44	7	1	
603	17.06.2019 17:22	310	55	70	43	0	26	44	7	1	
604	17.06.2019 18:22	335	54	71	51	0	26	44	7	1	
605	17.06.2019 19:22	304	56	57	54	0	26	44	7	1	
606	17.06.2019 20:22	351	48	69	59	0	26	44	7	1	
607	17.06.2019 21:22	310	57	67	46	0	26	44	7	1	
608	17.06.2019 22:22	384	58	81	59	0	26	44	7	1	
609	17.06.2019 23:22	435	49	86	71	0	26	45	7	1	
610	18.06.2019 00:22	414	59	83	70	0	25	45	7	1	
611	18.06.2019 01:22	438	59	94	68	0	25	45	7	1	
612	18.06.2019 02:22	409	52	77	73	0	25	46	7	1	
613	18.06.2019 03:22	377	56	81	57	0	25	46	7	1	
614	18.06.2019 04:22	374	68	69	68	0	25	46	7	1	
615	18.06.2019 05:22	377	54	71	67	0	25	46	7	1	
616	18.06.2019 06:22	327	57	71	49	0	25	46	7	1	
617	18.06.2019 07:22	284	59	60	45	0	25	45	7	1	
618	18.06.2019 08:22	302	59	64	46	0	26	44	7	1	
619	18.06.2019 09:22	294	52	61	45	0	26	45	7	1	
620	18.06.2019 10:22	299	59	62	46	0	26	45	7	1	
621	18.06.2019 11:22	246	49	57	32	0	26	45	7	1	
622	18.06.2019 12:22	252	48	62	29	0	26	45	7	1	
623	18.06.2019 13:22	255	45	54	39	0	26	44	7	1	
624	18.06.2019 14:22	249	52	53	38	0	26	44	7	1	
625	18.06.2019 15:22	285	56	66	38	0	26	44	7	1	
626	18.06.2019 16:22	266	52	62	35	0	26	44	7	1	
627	18.06.2019 17:22	285	61	64	40	0	26	44	7	1	
628	18.06.2019 18:22	318	49	82	34	0	26	44	7	1	
629	18.06.2019 19:22	412	53	84	66	0	26	44	7	1	
630	18.06.2019 20:22	431	61	99	58	0	26	44	7	1	
631	18.06.2019 21:22	398	64	69	76	0	26	44	7	1	
632	18.06.2019 22:22	401	57	83	63	0	26	44	7	1	
