time \ channel	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96
01.06.2019 17:55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	3	3	12	8	1	0	0	1	0	0	1	0	0	0	2	0	2	6	12	6	4	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
01.06.2019 16:55	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	0	0	0	2	1	2	3	2	1	11	11	0	0	0	1	0	1	1	0	2	1	2	3	1	5	12	23	4	4	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
01.06.2019 15:55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	3	3	23	19	0	1	0	0	0	0	0	0	0	2	1	2	1	8	18	29	8	6	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
01.06.2019 14:55	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	3	0	2	6	2	25	20	4	0	0	0	0	0	2	0	2	3	0	3	3	6	24	45	9	4	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
01.06.2019 13:55	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	1	2	1	1	2	2	8	28	27	0	0	1	0	1	0	1	1	1	2	4	3	3	16	30	30	4	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01.06.2019 12:55	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	3	2	4	4	11	54	37	2	0	0	1	0	1	2	1	1	0	2	4	1	15	35	41	11	4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
01.06.2019 11:55	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	2	0	1	2	1	0	3	2	10	10	46	28	0	1	0	0	0	0	1	2	2	0	2	4	7	18	28	33	13	7	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01.06.2019 10:55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	1	0	2	1	1	1	3	3	1	3	4	4	13	46	44	1	1	0	1	2	0	0	1	2	2	2	4	3	20	30	51	11	6	3	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0
01.06.2019 09:55	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	2	1	0	1	1	0	3	1	4	2	0	6	48	52	0	1	0	0	1	1	0	2	6	1	3	3	4	12	38	50	8	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01.06.2019 08:55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1	1	0	1	0	0	0	0	1	1	2	1	2	0	4	3	11	52	34	0	1	1	0	0	1	2	0	3	1	0	3	5	14	32	43	16	10	4	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0
